[08:49:25 INFO  SMAPI] SMAPI 3.18.3 with Stardew Valley 1.5.6 (build 22018) on Microsoft Windows 10 Pro
[08:49:25 INFO  SMAPI] Mods go here: C:\Users\julie\AppData\Roaming\Stardrop\Data\Selected Mods
[08:49:25 TRACE SMAPI] (Using custom --mods-path argument.)
[08:49:25 TRACE SMAPI] Log started at 2023-05-26T12:49:25 UTC
[08:49:28 DEBUG SMAPI] Waiting for game to launch...
[08:49:28 TRACE game] NoFpsCap: This feature is not available
[08:49:29 DEBUG SMAPI] Loading mod metadata...
[08:49:29 DEBUG SMAPI] Loading mods...
[08:49:29 TRACE SMAPI]    AeroCore (from Selected Mods\AeroCore\AeroCore.dll)...
[08:49:29 TRACE SMAPI]       Detected game patcher in assembly AeroCore.dll.
[08:49:29 TRACE SMAPI]    Content Patcher (from Selected Mods\ContentPatcher\ContentPatcher.dll)...
[08:49:29 TRACE SMAPI]    SpaceCore (from Selected Mods\SpaceCore\SpaceCore.dll)...
[08:49:29 TRACE SMAPI]       Detected game patcher in assembly SpaceCore.dll.
[08:49:29 TRACE SMAPI]       Detected possible save serializer change (StardewValley.SaveGame.farmerSerializer field, StardewValley.SaveGame.serializer field, StardewValley.SaveGame.locationSerializer field) in assembly SpaceCore.dll.
[08:49:29 TRACE SMAPI]    Expanded Preconditions Utility (from Selected Mods\ExpandedPreconditionsUtility\ExpandedPreconditionsUtility.dll)...
[08:49:29 TRACE SMAPI]       Rewrote ExpandedPreconditionsUtility.dll for OS...
[08:49:29 TRACE SMAPI]       Rewrote ExpandedPreconditionsUtility.dll to fix 32-bit architecture...
[08:49:29 TRACE SMAPI]    Json Assets (from Selected Mods\JsonAssets\JsonAssets.dll)...
[08:49:29 TRACE SMAPI]       Detected game patcher in assembly JsonAssets.dll.
[08:49:29 TRACE SMAPI]    Dynamic Game Assets (from Selected Mods\DynamicGameAssets\DynamicGameAssets.dll)...
[08:49:30 TRACE SMAPI]       Detected game patcher in assembly DynamicGameAssets.dll.
[08:49:30 TRACE SMAPI]    Generic Mod Config Menu (from Selected Mods\GenericModConfigMenu\GenericModConfigMenu.dll)...
[08:49:30 TRACE SMAPI]    Alternative Textures (from Selected Mods\AlternativeTextures\AlternativeTextures.dll)...
[08:49:30 TRACE SMAPI]       Detected game patcher in assembly AlternativeTextures.dll.
[08:49:30 TRACE SMAPI]    Ultimate Villager Manager SV (from Selected Mods\An Ultimate Villager Manager SV v1.9) [content pack]...
[08:49:30 TRACE SMAPI]    Shop Tile Framework (from Selected Mods\ShopTileFramework\ShopTileFramework.dll)...
[08:49:30 TRACE SMAPI]       Rewrote ShopTileFramework.dll for OS...
[08:49:30 TRACE SMAPI]       Rewrote ShopTileFramework.dll to fix 32-bit architecture...
[08:49:30 TRACE SMAPI]       Rewrote ShopTileFramework.dll to fix Harmony 1.x...
[08:49:30 TRACE SMAPI]       Detected game patcher in assembly ShopTileFramework.dll.
