[09:33:02 INFO  SMAPI] SMAPI 3.18.3 with Stardew Valley 1.5.6 (build 22018) on Microsoft Windows 10 Pro
[09:33:02 INFO  SMAPI] Mods go here: C:\Users\julie\AppData\Roaming\Stardrop\Data\Selected Mods
[09:33:02 TRACE SMAPI] (Using custom --mods-path argument.)
[09:33:02 TRACE SMAPI] Log started at 2023-05-26T13:33:02 UTC
[09:33:05 DEBUG SMAPI] Waiting for game to launch...
[09:33:05 TRACE game] NoFpsCap: This feature is not available
[09:33:06 DEBUG SMAPI] Loading mod metadata...
[09:33:06 DEBUG SMAPI] Loading mods...
[09:33:06 TRACE SMAPI]    AeroCore (from Selected Mods\AeroCore\AeroCore.dll)...
[09:33:06 TRACE SMAPI]       Detected game patcher in assembly AeroCore.dll.
[09:33:06 TRACE SMAPI]    Content Patcher (from Selected Mods\ContentPatcher\ContentPatcher.dll)...
[09:33:06 TRACE SMAPI]    SpaceCore (from Selected Mods\SpaceCore\SpaceCore.dll)...
[09:33:06 TRACE SMAPI]       Detected game patcher in assembly SpaceCore.dll.
[09:33:06 TRACE SMAPI]       Detected possible save serializer change (StardewValley.SaveGame.farmerSerializer field, StardewValley.SaveGame.serializer field, StardewValley.SaveGame.locationSerializer field) in assembly SpaceCore.dll.
[09:33:06 TRACE SMAPI]    Expanded Preconditions Utility (from Selected Mods\ExpandedPreconditionsUtility\ExpandedPreconditionsUtility.dll)...
[09:33:06 TRACE SMAPI]       Rewrote ExpandedPreconditionsUtility.dll for OS...
[09:33:06 TRACE SMAPI]       Rewrote ExpandedPreconditionsUtility.dll to fix 32-bit architecture...
[09:33:06 TRACE SMAPI]    Json Assets (from Selected Mods\JsonAssets\JsonAssets.dll)...
[09:33:06 TRACE SMAPI]       Detected game patcher in assembly JsonAssets.dll.
[09:33:06 TRACE SMAPI]    Dynamic Game Assets (from Selected Mods\DynamicGameAssets\DynamicGameAssets.dll)...
[09:33:06 TRACE SMAPI]       Detected game patcher in assembly DynamicGameAssets.dll.
[09:33:06 TRACE SMAPI]    Generic Mod Config Menu (from Selected Mods\GenericModConfigMenu\GenericModConfigMenu.dll)...
[09:33:06 TRACE SMAPI]    Alternative Textures (from Selected Mods\AlternativeTextures\AlternativeTextures.dll)...
[09:33:06 TRACE SMAPI]       Detected game patcher in assembly AlternativeTextures.dll.
[09:33:06 TRACE SMAPI]    Ultimate Villager Manager SV (from Selected Mods\An Ultimate Villager Manager SV v1.9) [content pack]...
[09:33:06 TRACE SMAPI]    Shop Tile Framework (from Selected Mods\ShopTileFramework\ShopTileFramework.dll)...
[09:33:06 TRACE SMAPI]       Rewrote ShopTileFramework.dll for OS...
[09:33:06 TRACE SMAPI]       Rewrote ShopTileFramework.dll to fix 32-bit architecture...
[09:33:06 TRACE SMAPI]       Rewrote ShopTileFramework.dll to fix Harmony 1.x...
[09:33:06 TRACE SMAPI]       Detected game patcher in assembly ShopTileFramework.dll.
[09:33:07 TRACE SMAPI]    Extra Map Layers (from Selected Mods\ExtraMapLayers\ExtraMapLayers.dll)...
[09:33:07 TRACE SMAPI]       Detected game patcher in assembly ExtraMapLayers.dll.
[09:33:07 TRACE SMAPI]    SAAT.API (from Selected Mods\SAAT.API\SAAT.API.dll)...
